time,open,high,low,close
2025-12-15T04:14:00-05:00,6914.5,6916.25,6914.5,6915.75
2025-12-15T04:15:00-05:00,6916,6916.5,6915.75,6916
2025-12-15T04:16:00-05:00,6916,6916,6914,6914
2025-12-15T04:17:00-05:00,6913.75,6915.25,6913.75,6915.25
2025-12-15T04:18:00-05:00,6915.25,6915.5,6914.5,6914.5
2025-12-15T04:19:00-05:00,6914.25,6914.5,6914,6914.25
2025-12-15T04:20:00-05:00,6914.25,6914.75,6914.25,6914.25
2025-12-15T04:21:00-05:00,6914.25,6914.25,6913.25,6913.25
2025-12-15T04:22:00-05:00,6913.5,6913.75,6913,6913.25
2025-12-15T04:23:00-05:00,6913,6914.5,6912.75,6914.25
2025-12-15T04:24:00-05:00,6914.25,6915,6914.25,6915
2025-12-15T04:25:00-05:00,6915.25,6916.75,6915.25,6916.25
2025-12-15T04:26:00-05:00,6916.25,6917,6915.75,6917
2025-12-15T04:27:00-05:00,6917,6917.25,6915.75,6916.25
2025-12-15T04:28:00-05:00,6916.25,6916.5,6915.75,6916.25
2025-12-15T04:29:00-05:00,6916.5,6917,6916,6916
2025-12-15T04:30:00-05:00,6916,6916.75,6916,6916
2025-12-15T04:31:00-05:00,6916,6916.5,6915.5,6916.25
2025-12-15T04:32:00-05:00,6916.25,6917,6916,6916.75
2025-12-15T04:33:00-05:00,6916.5,6917.25,6916.25,6917
2025-12-15T04:34:00-05:00,6916.75,6917.5,6916.75,6917
2025-12-15T04:35:00-05:00,6916.75,6917,6916.25,6916.5
2025-12-15T04:36:00-05:00,6916.5,6917,6916.25,6916.75
2025-12-15T04:37:00-05:00,6917,6917,6916.75,6916.75
2025-12-15T04:38:00-05:00,6916.75,6917,6916.5,6916.5
2025-12-15T04:39:00-05:00,6916.75,6916.75,6915.75,6915.75
2025-12-15T04:40:00-05:00,6915.5,6916.75,6915.25,6916.25
2025-12-15T04:41:00-05:00,6916.25,6916.25,6916,6916.25
2025-12-15T04:42:00-05:00,6916.5,6916.5,6916,6916
2025-12-15T04:43:00-05:00,6916,6916.25,6915.75,6916.25
2025-12-15T04:44:00-05:00,6916.25,6917.25,6916.25,6917
2025-12-15T04:45:00-05:00,6917,6918,6917,6917.75
2025-12-15T04:46:00-05:00,6917.5,6917.75,6916.75,6917.75
2025-12-15T04:47:00-05:00,6918,6918.25,6917.5,6918.25
2025-12-15T04:48:00-05:00,6918.25,6918.25,6917.5,6917.75
2025-12-15T04:49:00-05:00,6918,6918.25,6917.75,6918.25
2025-12-15T04:50:00-05:00,6918.25,6919.25,6918,6919.25
2025-12-15T04:51:00-05:00,6919.25,6919.5,6917.75,6917.75
2025-12-15T04:52:00-05:00,6918,6919.25,6918,6919.25
2025-12-15T04:53:00-05:00,6919.25,6919.75,6918.5,6918.5
2025-12-15T04:54:00-05:00,6918.5,6919.25,6918.25,6919.25
2025-12-15T04:55:00-05:00,6919.5,6920.25,6918.75,6918.75
2025-12-15T04:56:00-05:00,6918.75,6919.75,6918.75,6919.75
2025-12-15T04:57:00-05:00,6919.75,6920,6919.25,6919.5
2025-12-15T04:58:00-05:00,6919.75,6919.75,6919,6919.25
2025-12-15T04:59:00-05:00,6919,6919.25,6918.5,6919
2025-12-15T05:00:00-05:00,6918.75,6918.75,6917.75,6918
2025-12-15T05:01:00-05:00,6918,6918.75,6917.5,6917.75
2025-12-15T05:02:00-05:00,6917.5,6919,6917.5,6919
2025-12-15T05:03:00-05:00,6919,6920,6918.75,6919.75
2025-12-15T05:04:00-05:00,6919.75,6920,6919.25,6919.75
2025-12-15T05:05:00-05:00,6919.5,6919.5,6919,6919
2025-12-15T05:06:00-05:00,6919,6919.25,6918.5,6918.5
2025-12-15T05:07:00-05:00,6918.5,6919.25,6918.5,6919.25
2025-12-15T05:08:00-05:00,6919.5,6920.25,6919.5,6919.75
2025-12-15T05:09:00-05:00,6919.75,6920.25,6919.5,6920
2025-12-15T05:10:00-05:00,6919.75,6920.75,6919.75,6920.75
2025-12-15T05:11:00-05:00,6920.5,6921,6920.25,6921
2025-12-15T05:12:00-05:00,6921,6921.25,6920.75,6921
2025-12-15T05:13:00-05:00,6921,6921.5,6920.75,6921.25
2025-12-15T05:14:00-05:00,6921.25,6922,6921.25,6922
2025-12-15T05:15:00-05:00,6922,6922,6921.75,6922
2025-12-15T05:16:00-05:00,6921.75,6921.75,6921.5,6921.75
2025-12-15T05:17:00-05:00,6921.75,6922,6921.25,6921.5
2025-12-15T05:18:00-05:00,6921.5,6922.25,6921.25,6922.25
2025-12-15T05:19:00-05:00,6922,6922.5,6921.5,6921.5
2025-12-15T05:20:00-05:00,6921.5,6921.5,6920.25,6921.5
2025-12-15T05:21:00-05:00,6921.25,6921.5,6920,6920
2025-12-15T05:22:00-05:00,6920.25,6920.25,6920,6920.25
2025-12-15T05:23:00-05:00,6920.25,6920.75,6920.25,6920.5
2025-12-15T05:24:00-05:00,6920.5,6920.5,6920,6920.5
2025-12-15T05:25:00-05:00,6920.5,6920.75,6920.5,6920.5
2025-12-15T05:26:00-05:00,6920.5,6920.5,6920.5,6920.5
2025-12-15T05:27:00-05:00,6920.5,6920.5,6920.25,6920.25
2025-12-15T05:28:00-05:00,6920.25,6921.25,6920.25,6921.25
2025-12-15T05:29:00-05:00,6921,6921,6920.5,6920.5
2025-12-15T05:30:00-05:00,6920.5,6920.75,6920,6920.75
2025-12-15T05:31:00-05:00,6920.75,6920.75,6919,6919
2025-12-15T05:32:00-05:00,6919.25,6919.5,6919,6919.25
2025-12-15T05:33:00-05:00,6919.25,6919.25,6918.5,6918.75
2025-12-15T05:34:00-05:00,6918.75,6919.5,6918,6919.25
2025-12-15T05:35:00-05:00,6919.25,6919.25,6918,6918.25
2025-12-15T05:36:00-05:00,6918,6919,6918,6919
2025-12-15T05:37:00-05:00,6919,6919,6918.25,6918.75
2025-12-15T05:38:00-05:00,6918.5,6918.75,6918.25,6918.25
2025-12-15T05:39:00-05:00,6918,6918.5,6918,6918.25
2025-12-15T05:40:00-05:00,6918.5,6919.5,6918.5,6919.25
2025-12-15T05:41:00-05:00,6919.25,6919.25,6919,6919.25
2025-12-15T05:42:00-05:00,6919.25,6919.75,6919,6919.25
2025-12-15T05:43:00-05:00,6919,6920.5,6919,6920.25
2025-12-15T05:44:00-05:00,6920.5,6921.25,6920.5,6920.75
2025-12-15T05:45:00-05:00,6920.75,6920.75,6920.25,6920.5
2025-12-15T05:46:00-05:00,6920.25,6920.5,6920,6920.25
2025-12-15T05:47:00-05:00,6920,6920,6919.75,6920
2025-12-15T05:48:00-05:00,6920,6920,6919.75,6919.75
2025-12-15T05:49:00-05:00,6919.75,6920,6919.5,6919.75
2025-12-15T05:50:00-05:00,6919.75,6920,6919.5,6920
2025-12-15T05:51:00-05:00,6920,6920.25,6919.75,6920.25
2025-12-15T05:52:00-05:00,6920.25,6920.5,6920,6920.5
2025-12-15T05:53:00-05:00,6920.25,6921.5,6920.25,6921.5
2025-12-15T05:54:00-05:00,6921.25,6922,6921.25,6922
2025-12-15T05:55:00-05:00,6921.75,6922,6921.5,6921.75
2025-12-15T05:56:00-05:00,6921.75,6922.25,6921.5,6921.75
